Full Name,Pace Total,Shooting Total,Passing Total,Dribbling Total,Defending Total,Physicality Total,Position
Daniel Carvajal Ramos,82,54,77,80,78,79,DEF
Stefan Savić,64,35,58,58,87,80,DEF
Raphaël Varane,81,49,64,66,85,80,DEF
Wissam Ben Yedder,81,84,78,88,39,68,ATK
Lorenzo Insigne,84,78,84,89,36,45,MID
Mats Hummels,53,59,76,72,87,78,DEF
Stefan de Vrij,68,41,65,69,87,79,DEF
Joel Matip,61,46,69,71,87,78,DEF
Sergio Canales Madrazo,83,79,85,82,68,71,MID
Iker Muniain Goñi,81,77,82,87,51,61,MID
Kieran Trippier,70,64,82,77,80,72,DEF
Leonardo Bonucci,54,59,69,71,85,78,DEF
Ángel Di María,79,79,84,87,48,67,ATK
Eden Hazard,83,80,82,87,35,63,ATK
Ivan Perišić,78,81,79,82,74,78,MID
Edin Džeko,63,84,71,77,45,75,ATK
Giorgio Chiellini,65,46,60,58,85,83,DEF
Rodrigo Javier De Paul,78,77,83,82,75,81,MID
Jude Bellingham,75,75,78,84,77,80,MID
Federico Chiesa,91,81,76,86,48,73,MID
Moussa Diaby,93,73,75,87,42,59,MID
Jamie Tartt,83,87,80,85,29,74,MID
Rafael da Conceição Leão,91,77,73,86,27,74,ATK
Jules Koundé,84,45,64,74,85,78,DEF
Youri Tielemans,56,80,86,81,70,73,MID
Sandro Tonali,81,73,81,79,79,82,MID
Luis Díaz,91,80,75,87,34,73,MID
Éder Gabriel Militão,86,50,70,72,85,82,DEF
Federico Valverde,87,74,80,79,78,80,MID
Leroy Sané,88,81,80,85,38,66,MID
Reece James,81,70,82,82,80,82,DEF
Alessandro Bastoni,73,35,69,71,86,82,DEF
Kai Havertz,81,79,79,84,45,66,MID
João Félix Sequeira,83,80,81,88,40,67,MID
Achraf Hakimi,92,75,79,80,75,78,DEF
Alphonso Davies,94,66,77,85,76,77,MID
Declan Rice,71,64,74,76,82,83,MID
Mason Mount,74,81,85,82,55,67,MID
Jadon Sancho,81,74,81,89,36,59,MID
Fikayo Tomori,86,40,60,66,86,81,DEF
Franck Yannick Kessié,78,76,74,79,82,87,MID
Mikel Oyarzabal Ugarte,79,83,80,83,41,62,ATK
Lorenzo Pellegrini,79,77,83,84,74,78,MID
Wilfred Ndidi,66,62,68,73,85,83,DEF
Marcos Llorente Moreno,88,79,81,82,78,81,MID
Martin Ødegaard,76,75,86,84,58,63,MID
Dušan Vlahović,80,85,66,78,28,79,ATK
Diego Carlos Santos Silva,76,47,63,67,82,82,DEF
José Ángel Esmoris Tasende,78,71,82,84,76,70,MID
Ousmane Dembélé,93,77,79,87,36,56,MID
Marco Asensio Willemsen,82,80,81,83,43,62,ATK
Rúben Diogo da Silva Neves,58,74,86,77,76,73,MID
Mikel Merino Zazón,73,78,81,82,82,81,MID
Konrad Laimer,84,68,78,79,81,78,MID
Presnel Kimpembe,80,43,68,69,83,86,DEF
Fabián Ruiz Peña,61,79,80,83,74,72,MID
Ferland Mendy,92,64,77,78,78,84,DEF
Ronaldo Jailson Cabrais Petri,88,77,83,84,35,72,MID
Gabriel Fernando de Jesus,84,82,74,86,40,74,ATK
Victor Osimhen,90,82,65,78,40,81,ATK
Pierre-Emile Højbjerg,55,73,77,77,80,82,MID
Cristian Romero,73,46,57,65,85,82,DEF
Raphael Dias Belloli,91,79,77,85,50,73,MID
Carlos Soler Barragán,80,77,83,80,71,72,MID
Pau Francisco Torres,73,38,67,70,84,81,DEF
Cody Gakpo,87,82,77,84,41,74,MID
Ronald Araujo,77,51,65,61,83,83,DEF
Roy Kent,58,71,78,75,79,83,MID
Duván Zapata,78,82,63,79,35,85,ATK
Ángel Correa,85,84,77,87,50,74,ATK
José María Giménez,71,46,57,60,85,83,DEF
Thomas Lemar,82,78,83,87,68,64,MID
Gleison Bremer Silva Nascimento,78,50,56,65,84,79,DEF
Juan Cuadrado,90,75,78,87,76,72,DEF
Piotr Zieliński,81,77,81,86,70,62,MID
Jesús Navas González,85,68,82,81,79,57,DEF
Gerard Piqué Bernabeu,56,61,71,68,83,76,DEF
Jordan Henderson,66,74,83,78,78,81,MID
Fernando Reges Mouta,65,62,76,73,83,81,MID
David Josué Jiménez Silva,61,72,86,85,52,53,MID
Antoine Griezmann,80,82,83,85,52,72,MID
Luis Alberto Romero Alconchel,54,75,86,83,57,57,MID
Roberto Firmino Barbosa de Oliveira,74,76,79,87,59,78,ATK
John Stones,72,51,71,75,84,77,DEF
Hakim Ziyech,76,77,87,83,50,65,ATK
Jorge Resurrección,70,72,84,79,78,79,MID
Ricardo Barbosa Pereira,79,67,79,81,80,73,DEF
James Maddison,73,78,84,85,54,62,MID
Andrej Kramarić,71,80,79,85,30,72,ATK
Rafael A. Ferreira Silva,91,73,75,86,50,52,ATK
Giovanni Di Lorenzo,85,66,73,77,78,80,DEF
Manuel Locatelli,63,72,79,78,79,79,MID
Robin Gosens,82,75,74,79,77,80,DEF
Gonçalo Manuel Ganchinho Guedes,86,83,74,83,38,70,ATK
Jonathan Tah,67,37,59,61,83,85,DEF
Andreas Christensen,68,32,66,70,84,74,DEF
Emre Can,79,78,77,80,82,87,DEF
Anderson Souza Conceição,80,82,78,83,52,75,ATK
Julian Brandt,67,78,82,85,48,65,MID
Timo Werner,90,80,69,82,35,69,ATK
José Luís Gayà Peña,83,61,76,80,78,73,DEF
Otávio Edmilson da Silva Monteiro,78,69,80,85,63,71,MID
Alejandro Grimaldo García,87,65,81,83,74,71,DEF
Raphaël Guerreiro,74,77,86,87,75,55,MID
Matthias Ginter,60,59,71,66,84,79,DEF
Sébastien Haller,65,80,62,74,52,82,ATK
Aritz Elustondo,64,39,65,62,82,78,DEF
Tammy Abraham,83,81,66,78,36,80,ATK
Ismaël Bennacer,77,68,80,86,77,76,MID
Dani Rojas,83,83,75,82,28,75,ATK
Florian Wirtz,78,73,80,86,51,60,MID
Antony Matheus dos Santos,93,74,75,86,39,69,MID
Darwin Núñez,89,82,68,77,42,86,ATK
Nico Schlotterbeck,76,56,66,72,84,78,DEF
Bukayo Saka,84,74,78,83,65,65,MID
Daniel Olmo Carvajal,67,76,81,86,50,59,MID
Aurélien Tchouaméni,70,70,79,78,81,82,MID
Ferran Torres García,84,79,79,83,35,67,ATK
Noussair Mazraoui,84,66,77,82,76,74,MID
Arnaut Danjuma,88,81,75,82,42,68,MID
Lucas Tolentino Coelho de Lima,72,78,79,85,69,78,MID
Denzel Dumfries,83,63,70,73,78,89,DEF
Ruslan Malinovskyi,76,81,83,81,64,80,ATK
Raúl Jiménez,73,81,76,80,47,82,ATK
Josué Durval Chiamulera Vaz,78,43,56,64,85,79,DEF
Ben Chilwell,76,60,78,78,78,75,DEF
André Miguel Valente da Silva,74,83,70,82,47,78,ATK
Christian Pulisic,87,71,73,86,37,59,MID
Sergi Darder Moll,82,74,82,83,74,77,MID
Willi Orban,57,36,53,56,84,81,DEF
Idrissa Gueye,67,66,72,78,83,76,MID
Zlatan Ibrahimović,58,85,76,77,34,72,ATK
Iñigo Martínez Berridi,71,56,67,61,82,80,DEF
Ivan Rakitić,53,80,86,78,75,68,MID
Dimitri Payet,70,78,84,83,40,65,MID
Olivier Giroud,42,83,72,73,42,78,ATK
Simon Kjær,62,54,64,60,84,78,DEF
Yuri Berchiche Izeta,81,68,76,76,79,82,DEF
Toby Alderweireld,57,55,70,67,85,75,DEF
Marko Arnautović,78,82,79,79,44,82,ATK
César Azpilicueta Tanco,64,55,76,72,84,76,DEF
Philippe Coutinho Correia,62,79,80,88,52,59,MID
Christian Eriksen,61,78,88,80,53,52,MID
Raúl Albiol Tortajada,38,41,62,63,85,71,DEF
Sebastián Coates,68,49,55,62,84,87,DEF
Lucas Digne,78,69,80,79,77,76,DEF
Francisco Román Alarcón Suárez,65,75,80,88,59,58,MID
Geoffrey Kondogbia,68,75,77,76,81,88,MID
Gabriel Armando de Abreu,67,49,71,65,84,83,DEF
José Ignacio Fernández Iglesias,75,37,69,70,82,80,DEF
Kevin Volland,70,85,79,80,46,84,ATK
Leonardo Spinazzola,91,64,73,80,78,69,DEF
Steven Berghuis,80,82,83,82,40,69,MID
Luis Muriel,89,83,74,86,27,67,ATK
Wilfried Zaha,91,79,73,86,37,76,ATK
Francesco Acerbi,62,50,64,64,85,78,DEF
Evan Ndicka,80,51,71,73,81,79,DEF
Tomáš Souček,57,72,73,72,82,85,DEF
Antonín Barák,74,79,80,81,65,75,MID
Martin Terrier,85,81,75,78,36,70,ATK
David Raum,87,59,77,78,71,77,DEF
Yves Bissouma,72,68,75,79,80,77,MID
Ibrahim Sangaré,66,66,73,75,81,86,MID
Jesús Corona,82,65,80,86,73,67,ATK
Thomas Delaney,72,71,74,73,82,81,MID
Alexandre Lacazette,70,81,76,83,44,74,ATK
Nicolò Zaniolo,87,75,72,82,62,83,MID
Ibrahima Konaté,78,34,57,67,82,80,DEF
Pedro Antonio Porro Sauceda,82,71,75,80,75,78,DEF
Marc Cucurella Saseta,76,68,78,80,77,74,DEF
Lisandro Martínez,72,60,76,77,82,83,MID
Matheus Santos Carneiro Da Cunha,84,82,75,84,32,74,MID
Pedro António Pereira Gonçalves,76,80,80,84,56,64,MID
Mehdi Taremi,77,80,74,81,38,72,ATK
Rodrygo Silva de Goes,88,76,74,84,32,56,MID
Edmond Tapsoba,70,54,65,70,83,79,DEF
Dejan Kulusevski,78,77,79,83,56,76,MID
Bruno Guimarães Moura,69,67,79,81,76,77,MID
Joško Gvardiol,82,54,69,74,80,83,DEF
Jamal Musiala,76,73,75,87,63,60,MID
Sam Obisanya,89,74,78,81,71,73,MID
Pablo Sarabia García,73,76,82,82,57,59,ATK
Marc Bartra Aregall,71,61,73,73,81,74,DEF
Felipe Augusto de Almeida Monteiro,59,43,59,61,81,83,DEF
Harry Maguire,48,57,68,67,80,84,DEF
Juan Heberto Mestres de Mesquita,71,61,57,63,82,80,DEF
Marvin Oswaldo Rangel Azevedo,76,81,67,77,20,78,ATK
Nailton Padrenda Mendes,82,73,77,82,52,70,MID
Welington Kauê Dano Nascimento,79,54,76,79,75,74,DEF
Louri Adriano Bisesi Barbosa,78,84,62,72,33,71,ATK
Rosival Jailson Dourado Santos,77,57,74,77,82,68,MID
Adryan Juliano Zonta Torres,93,66,75,76,72,77,DEF
Gianluca Mancini,67,45,50,59,81,87,DEF
Guido Rodríguez,51,57,71,68,84,77,MID
Dayot Upamecano,82,43,61,68,80,81,DEF
João Maria Palhinha Gonçalves,63,65,70,72,82,89,DEF
Denis Zakaria,82,64,73,77,80,85,MID
Manuel Akanji,77,48,70,74,83,78,DEF
André-Franck Zambo Anguissa,78,68,71,81,80,84,MID
Kieran Tierney,84,60,75,78,76,79,DEF
Marcus Rashford,87,82,75,81,41,71,ATK
Richarlison de Andrade,82,79,72,82,53,79,ATK
Gabriel dos S. Magalhães,68,36,60,58,83,80,DEF
Henrikh Mkhitaryan,82,79,78,83,56,72,MID
Nicolás Otamendi,63,57,62,59,83,81,DEF
Mario Götze,67,74,83,84,55,67,MID
Chris Smalling,62,47,58,60,83,80,DEF
Rafael Tolói,67,52,59,65,82,82,DEF
Edinson Cavani,61,83,68,72,51,73,ATK
Éver Banega,62,74,83,82,75,72,MID
Gareth Bale,80,84,81,79,55,69,ATK
Jan Vertonghen,69,62,72,67,83,78,DEF
Carlos Vela,77,79,76,83,30,64,ATK
João Filipe Moutinho,47,71,84,79,71,66,MID
Képler Laveran Lima Ferreira,77,51,60,61,81,87,DEF
Giovani Lo Celso,71,75,83,84,68,72,MID
Oscar dos Santos Emboaba,79,78,82,83,59,67,MID
Joe Gomez,80,30,67,69,81,78,DEF
Borja Iglesias Quintás,66,82,65,74,40,81,ATK
James Ward-Prowse,59,74,86,78,67,73,MID
Lucas Ocampos,80,81,77,82,62,83,ATK
Edin Višća,87,78,78,82,47,64,MID
Téji Savanier,64,76,84,83,69,68,MID
Emil Forsberg,71,73,83,83,35,62,MID
Lucas Vázquez Iglesias,82,73,79,80,73,69,DEF
Gaëtan Laborde,74,81,76,79,40,79,ATK
Jonas Hofmann,73,76,80,80,64,72,MID
Nicolás Tagliafico,80,56,72,75,80,80,DEF
Kerem Demirbay,69,76,81,82,71,72,MID
Vincenzo Grifo,74,75,80,81,40,63,MID
Robert Andrich,63,76,76,73,79,85,MID
Robin Le Normand,63,25,53,58,83,80,DEF
Ricardo Jorge da Luz Horta,79,82,79,80,43,70,ATK
Stanislav Lobotka,71,68,79,81,73,70,MID
Kalvin Phillips,66,65,77,76,79,82,MID
Mateus Uribe,75,76,75,79,80,82,MID
Lucas Torreira,72,70,76,80,78,76,MID
Mario Pašalić,75,79,76,80,67,77,MID
Naby Keïta,69,74,76,86,69,68,MID
Corentin Tolisso,69,78,77,79,77,77,MID
Hirving Lozano,93,76,72,82,41,62,ATK
Matteo Politano,83,77,78,84,42,55,ATK
Allan Saint-Maximin,90,73,73,88,27,68,MID
Seko Fofana,73,74,75,80,73,85,MID
Iñaki Williams Arthuer,94,78,72,78,38,83,ATK
Benjamin Bourigeaud,76,77,83,81,66,76,ATK
Youssef En-Nesyri,78,80,59,74,35,76,ATK
Javier Galán Gil,78,55,74,82,75,71,DEF
Florian Neuhaus,68,73,79,80,66,67,MID
Harvey Barnes,86,77,75,81,45,64,MID
Alexander Isak,83,79,68,83,29,68,ATK
Luis Sinisterra,89,73,72,85,53,63,ATK
Xaver Schlager,67,70,73,77,73,81,MID
Daichi Kamada,74,68,79,83,46,61,MID
Mauro Arambarri,61,64,73,73,78,77,MID
Maikel Renan Catarino Fagundes,76,51,70,77,77,70,DEF
Renato Júnior Luz Sanches,83,74,77,84,72,84,MID
Arthur Henrique Ramos Oliveira Melo,71,65,80,86,72,69,MID
Tony Josimar Abranjes Meneses,67,39,55,58,81,85,DEF
Laureano Thomas Santeiro Marre,80,72,77,82,26,45,MID
Mattéo Guendouzi,73,66,79,77,77,80,MID
Leon Bailey,92,78,74,83,33,61,MID
Aaron Wan-Bissaka,82,50,66,75,78,73,DEF
Djibril Sow,77,69,77,78,77,80,MID
Mario Hermoso Canseco,75,49,73,71,81,80,DEF
Davide Calabria,79,57,70,74,79,73,DEF
Edson Álvarez,71,57,67,69,82,86,DEF
Teun Koopmeiners,70,72,80,76,76,77,MID
Boubacar Kamara,70,54,71,73,80,79,MID
Viktor Tsygankov,85,74,78,80,46,59,MID
Isaac McAdoo,63,62,55,56,81,83,DEF
Jeremie Frimpong,94,54,73,83,72,70,MID
Nuno Alexandre Tavares Mendes,89,57,73,78,74,73,DEF
Sven Botman,58,37,60,62,80,84,DEF
Jurriën Timber,82,47,67,77,81,81,DEF
Renan Augusto Lodi dos Santos,83,68,76,80,74,75,DEF
Sergio Reguilón Rodríguez,83,57,74,78,77,69,DEF
Vladimír Coufal,73,56,73,75,78,81,DEF
Amir Rrahmani,61,51,58,61,82,80,DEF
Scott McTominay,63,74,74,75,78,85,MID
Lovro Majer,69,73,81,83,60,67,MID
William Saliba,78,39,67,71,80,79,DEF
Ridle Baku,82,73,73,81,70,78,MID
Nicolás González,87,73,73,83,45,64,MID
Emile Smith Rowe,78,71,76,81,32,61,MID
Jonathan Clauss,84,69,76,78,69,70,DEF
Weston McKennie,82,74,76,80,78,83,MID
Nikola Milenković,64,45,62,62,81,83,DEF
Nayef Aguerd,73,50,64,65,80,77,DEF
Nélson Cabral Semedo,83,57,69,80,75,74,DEF
Charles Aránguiz,46,71,79,77,76,71,MID
Lucas Rodrigues M. Silva,89,77,70,85,46,68,ATK
Jonathan Viera Ramos,80,75,79,81,63,72,MID
Danilo Luiz da Silva,72,67,73,74,81,79,DEF
Sergio Roberto Carnicer,74,63,79,77,75,72,DEF
Allan Marques Loureiro,70,69,73,79,79,77,MID
Hans Vanaken,44,79,81,76,59,74,MID
Danilo Luís Hélio Pereira,56,63,70,71,79,85,MID
Álvaro Borja Morata Martín,80,78,72,78,31,77,ATK
Luke Shaw,76,54,78,78,79,78,DEF
Cristiano Biraghi,76,69,78,77,77,76,DEF
Eric Dier,54,64,70,65,80,84,DEF
Gerard Deulofeu Lázaro,90,79,75,83,30,66,ATK
Thorgan Hazard,75,76,79,83,53,65,MID
Kurt Zouma,62,51,62,56,80,84,DEF
Marcel Sabitzer,72,81,79,79,66,76,MID
Kevin Kampl,69,66,81,83,62,62,MID
Andy Delort,82,81,72,75,37,82,ATK
Alex Sandro Lobo Silva,76,65,73,78,76,78,DEF
Yeray Álvarez López,65,49,63,64,82,77,DEF
Héctor Herrera,66,75,76,76,76,82,MID
Raúl García Escudero,35,83,82,78,59,84,MID
José Miguel da Rocha Fonte,31,46,62,62,82,80,DEF
Marek Hamšík,64,77,82,80,71,71,MID
Antonio Candreva,70,79,80,81,61,62,MID
José Luis Sanmartín Mato,63,81,69,73,31,76,ATK
Etienne Capoue,53,73,78,75,79,78,MID
Georginio Wijnaldum,69,71,77,80,77,78,MID
Max Kruse,51,81,81,82,40,64,MID
Matteo Darmian,71,59,70,76,81,69,DEF
Francis Coquelin,68,68,78,79,78,80,MID
Daley Blind,42,62,82,79,81,70,MID
Remo Freuler,68,71,75,78,75,74,MID
Maximilian Arnold,65,80,78,78,76,75,MID
Victor Lindelöf,59,51,72,72,82,76,MID
Alexandre Moreno Lopera,88,68,73,76,75,69,DEF
Mahmoud Dahoud,70,69,77,85,67,70,MID
Hamari Traoré,83,57,72,76,75,78,DEF
Ante Rebić,86,80,74,81,48,80,ATK
Hans Hateboer,82,64,71,77,77,76,DEF
Dominic Calvert-Lewin,81,77,64,76,39,80,ATK
Lukas Klostermann,86,50,64,71,82,78,DEF
Joaquín Correa,84,75,76,84,39,69,ATK
Rick Karsdorp,85,63,74,77,75,79,DEF
Joan Jordán Moreno,59,75,81,76,68,75,MID
Jarrod Bowen,78,77,75,81,44,66,MID
Alejandro Berenguer Remiro,81,76,76,82,64,64,MID
Steven Bergwijn,86,78,75,83,42,70,MID
Emiliano Buendía,71,74,81,83,66,70,MID
Gianluca Scamacca,73,80,66,74,36,74,ATK
José Luis Morales Nogales,83,81,74,82,52,67,MID
Leandro Paredes,64,71,82,78,76,78,MID
Sardar Azmoun,78,77,70,78,40,73,ATK
William Silva de Carvalho,35,65,77,73,75,84,MID
Bryan Cristante,54,73,77,75,77,78,MID
Saúl Ñíguez Esclápez,69,76,77,79,78,76,MID
Marten de Roon,70,68,70,71,82,83,DEF
Andrea Belotti,74,80,58,76,38,83,ATK
Frederico de Paula Santos,76,67,79,81,75,71,MID
Christian Günter,80,58,71,71,75,82,DEF
Adrien Rabiot,75,73,76,79,76,79,MID
Alessio Romagnoli,66,40,55,67,83,77,DEF
Carles Gil Pareja,71,70,81,80,39,64,MID
Anthony Martial,83,79,72,84,35,66,ATK
Moussa Dembélé,72,79,64,74,30,79,ATK
Alex Nicolao Telles,79,74,81,77,75,71,DEF
Amine Gouiri,78,81,76,80,45,69,MID
Nemanja Maksimović,51,72,75,74,77,77,MID
Unai Núñez Gestoso,70,24,51,52,79,78,DEF
Orkun Kökçü,72,71,81,79,65,76,MID
Anthony Nwakaeme,75,77,76,81,39,80,MID
Luis Milla Manzanares,70,70,76,74,75,74,MID
Tyrell Malacia,85,56,66,77,76,76,DEF
Jonathan David,83,79,71,77,33,71,ATK
Conor Gallagher,74,76,75,78,67,74,MID
Alexis Sánchez,72,77,78,83,43,67,MID
Pervis Estupiñán,81,46,69,72,75,76,DEF
Juan Foyth,72,46,69,72,80,77,DEF
Min Jae Kim,80,33,57,62,79,84,DEF
Dominik Szoboszlai,77,79,81,80,34,64,MID
David Neres Campos,85,72,73,83,37,64,MID
Angelo Ogbonna,49,40,60,62,82,68,DEF
Jérôme Boateng,47,49,73,66,80,74,DEF
Youssouf Fofana,68,67,74,76,75,77,MID
Lars Stindl,55,79,79,79,60,74,MID
Ryan Gravenberch,77,76,78,83,68,72,MID
Anssumane Fati,88,77,72,82,30,53,MID
Pedro Rodríguez Ledesma,73,74,76,86,36,51,MID
George Goodman,83,55,74,78,75,66,DEF
Moe Bumbercatch,87,61,78,81,72,61,MID
Pablo Martín Páez Gavira,76,64,77,83,65,67,MID
Yeremy Jesús Pino Santos,77,73,76,79,38,45,MID
Gonçalo Bernardo Inácio,80,36,61,61,80,77,DEF
Vítor Machado Ferreira,73,68,79,83,67,55,MID
Matheus Luiz Nunes,82,71,73,82,74,76,MID
Giacomo Raspadori,81,78,68,81,27,58,MID
Samuel Chukwueze,89,74,70,84,36,63,MID
Ali Musrati,58,61,70,70,78,83,MID
Norberto Gomes Betuncal,87,79,58,74,24,81,ATK
Wesley Fofana,75,37,55,64,81,76,DEF
Eduardo Camavinga,76,66,78,81,76,78,MID
Martín Zubimendi Ibáñez,59,64,74,74,79,70,MID
Roger Ibañez Da Silva,82,32,45,58,81,79,DEF
Maxence Caqueret,73,58,73,81,75,68,MID
Boulaye Dia,83,78,62,76,27,76,ATK
Manuel Lanzini,69,73,79,82,41,55,MID
Rodrigo Bentancur,67,62,79,80,78,77,MID
Gonzalo Montiel,83,60,70,75,75,81,DEF
Ludovic Blas,73,76,77,82,58,64,MID
Matheus Reis de Lima,73,53,67,74,79,82,DEF
Luan Vágner Boas Macedo,83,79,65,81,28,64,ATK
Melvin Luan Parrela Porfírio,71,70,70,72,80,83,DEF
Everton Jorge Andrade Zanon,67,62,74,75,78,76,MID
Adnan Claudiano Vidual Machado,83,52,70,71,76,71,DEF
Ronaldo Diego Essler Domingues,89,58,70,77,74,59,DEF
Ezequiel Ávila,80,80,65,78,44,83,ATK
Oleksandr Zinchenko,68,65,80,80,77,69,MID
Ezri Konsa,78,39,62,71,80,76,DEF
Davinson Sánchez,75,47,55,66,79,79,DEF
Matty Cash,80,67,71,75,74,76,DEF
Benjamin Pavard,66,55,72,71,81,78,DEF
Pablo Fornals Malla,67,74,79,79,69,71,MID
Nordi Mukiele,78,49,68,72,81,80,DEF
Nicolas Pépé,88,77,74,82,36,62,ATK
Alexandr Golovin,77,72,78,82,60,66,MID
David García Zubiria,61,37,65,65,80,75,DEF
Ellyes Skhiri,68,72,71,75,79,75,MID
Adam Marušić,84,66,67,74,75,79,DEF
Wout Weghorst,60,77,60,69,52,86,ATK
Julian Weigl,59,64,75,77,79,75,MID
Donny van de Beek,67,77,76,78,72,75,MID
Donyell Malen,88,78,72,83,35,73,ATK
Rafael Mir Vicente,78,81,67,71,45,78,ATK
Benjamin White,70,29,67,72,81,76,MID
Jonny Evans,50,32,60,58,82,76,DEF
Joaquín Sánchez Rodríguez,66,78,85,79,44,53,MID
Daniel Wass,73,77,80,76,75,75,MID
Óscar Trejo,68,76,78,82,71,77,MID
Axel Witsel,34,63,79,75,78,74,MID
Javier Hernández,72,77,64,76,31,68,ATK
Anthony Modeste,69,78,63,70,35,79,ATK
Owen Wijndal,84,53,76,78,73,74,DEF
Reinildo Isnard Mandava,80,54,66,74,78,78,DEF
Francisco José Beltrán Peinado,60,56,77,77,77,65,MID
Cengiz Ünder,78,77,75,80,38,52,ATK
Lucas Veríssimo da Silva,81,39,58,63,80,81,DEF
Tanguy Ndombele,66,71,79,86,68,68,MID
Salih Özcan,77,62,72,77,76,81,MID
Manuel Lazzari,92,62,76,82,70,65,MID
Houssem Aouar,71,70,78,83,64,68,MID
Josip Brekalo,81,76,76,84,38,55,MID
